Series_Title,Released_Year,Genre,IMDB_Rating,language
Utopia,2024,"Mystery, Thriller, Action, Science Fiction",5.05,en
Warrior Queen,1987,"Action, History, Adventure",3.4,en
The Last Stand of Ellen Cole,2024,"Action, Adventure",8.2,en
Moana 2,2024,"Animation, Adventure, Family, Comedy",7.075,en
Lilo & Stitch,2002,"Animation, Family, Comedy",7.554,en
Thor: Ragnarok,2017,"Action, Adventure, Science Fiction",7.585,en
The Accountant,2016,"Crime, Thriller, Drama",7.121,en
Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Science Fiction, Thriller",6.539,en
Star Wars,1977,"Adventure, Action, Science Fiction",8.2,en
How to Train Your Dragon,2010,"Fantasy, Adventure, Animation, Family",7.843,en
Sonic the Hedgehog 3,2024,"Action, Science Fiction, Comedy, Family",7.714,en
Guardians of the Galaxy Vol. 2,2017,"Science Fiction, Adventure, Action",7.612,en
The Godfather,1972,"Drama, Crime",8.686,en
Mufasa: The Lion King,2024,"Adventure, Family, Animation",7.399,en
xXx,2002,"Action, Adventure, Thriller, Crime",5.943,en
Avengers: Infinity War,2018,"Adventure, Action, Science Fiction",8.236,en
Dune: Part Two,2024,"Science Fiction, Adventure",8.148,en
Life After Fighting,2024,"Action, Drama, Thriller",6.8,en
Star Wars: The Last Jedi,2017,"Adventure, Action, Science Fiction",6.776,en
The Lion King,2019,"Adventure, Drama, Family, Animation",7.109,en
The Super Mario Bros. Movie,2023,"Family, Comedy, Adventure, Animation",7.619,en
Doctor Strange in the Multiverse of Madness,2022,"Fantasy, Action, Adventure",7.259,en
How to Train Your Dragon 2,2014,"Fantasy, Action, Adventure, Animation, Comedy, Family",7.674,en
The Wild Robot,2024,"Animation, Science Fiction, Family",8.314,en
Inside Out 2,2024,"Animation, Adventure, Comedy, Family",7.553,en
Oppenheimer,2023,"Drama, History",8.059,en
Baywatch,2017,"Comedy, Action, Crime",6.093,en
Deadpool & Wolverine,2024,"Action, Comedy, Science Fiction",7.594,en
Mission: Impossible - Fallout,2018,"Action, Adventure",7.441,en
John Wick: Chapter 3 - Parabellum,2019,"Action, Thriller, Crime",7.441,en
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure, Science Fiction",8.344,en
Venom: The Last Dance,2024,"Action, Science Fiction, Adventure",6.719,en
Despicable Me 4,2024,"Animation, Family, Comedy, Science Fiction",7.038,en
The Flash,2023,"Adventure, Action, Science Fiction",6.65,en
Deadpool 2,2018,"Action, Comedy, Adventure",7.491,en
Pulp Fiction,1994,"Thriller, Crime",8.488,en
My Old Ass,2024,"Comedy, Drama",6.883,en
The Substance,2024,"Horror, Science Fiction",7.145,en
Justice League,2017,"Action, Adventure, Science Fiction",6.076,en
John Wick: Chapter 4,2023,"Action, Thriller, Crime",7.723,en
Conjuring the Cult,2024,"Horror, Drama",5.581,en
Blade Runner 2049,2017,"Science Fiction, Drama",7.582,en
The Terminator,1984,"Action, Thriller, Science Fiction",7.667,en
Interstellar,2014,"Adventure, Drama, Science Fiction",8.455,en
Anora,2024,"Drama, Comedy, Romance",7.058,en
The Haunting at Saint Joseph's,2023,"Horror, Thriller",4.5,en
Life,2017,"Horror, Science Fiction, Mystery, Thriller",6.442,en
Kung Fu Panda 4,2024,"Animation, Family, Action, Comedy, Adventure, Fantasy",7.1,en
Lilo & Stitch 2: Stitch Has a Glitch,2005,"Animation, Family, Comedy, Science Fiction",6.671,en
How to Train Your Dragon: The Hidden World,2019,"Animation, Family, Adventure",7.75,en
Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure, Comedy",6.844,en
The Meg,2018,"Action, Science Fiction, Horror",6.248,en
Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",7.531,en
Alien: Covenant,2017,"Horror, Science Fiction, Thriller",6.157,en
Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy, Crime",6.957,en
Logan,2017,"Action, Drama, Science Fiction",7.82,en
Kraven the Hunter,2024,"Action, Adventure, Thriller",6.555,en
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy",7.901,en
Final Destination,2000,Horror,6.621,en
The Tomorrow War,2021,"Action, Science Fiction, Adventure",7.507,en
Titanic,1997,"Drama, Romance",7.906,en
Spider-Man: Homecoming,2017,"Action, Adventure, Science Fiction, Drama",7.331,en
Wicked,2024,"Drama, Romance, Fantasy",6.935,en
War for the Planet of the Apes,2017,"Drama, Science Fiction, War",7.207,en
Saint Catherine,2024,Horror,6.8,en
Spider-Man: Far From Home,2019,"Action, Adventure, Science Fiction",7.408,en
Gladiator II,2024,"Action, Adventure, Drama",6.714,en
